State Code,State Name,Portal URL,MFA Required,MFA Type,Status,User ID,Password Set,TOTP Secret,SMS Phone,Email,Backup Codes,Notes,Date Added,Last Updated
AL,Alabama,https://labor.alabama.gov/wotc,Unknown,,,,,,,,,,,
AK,Alaska,https://labor.alaska.gov/wotc,Unknown,,,,,,,,,,,
AZ,Arizona,https://des.az.gov/wotc,Unknown,,,,,,,,,,,
AR,Arkansas,https://www.dws.arkansas.gov/wotc,Unknown,,,,,,,,,,,
CA,California,https://eddservices.edd.ca.gov/wotc/,Yes,TOTP,Test Credentials,✓,✓,✓,,,,Automation Enabled,,
CO,Colorado,https://cdle.colorado.gov/wotc,Unknown,,,,,,,,,,,
CT,Connecticut,https://www.ct.gov/dol/wotc,Unknown,,,,,,,,,,,
DE,Delaware,https://dol.delaware.gov/wotc,Unknown,,,,,,,,,,,
FL,Florida,https://floridajobs.org/wotc,Unknown,,Not Started,,,,,,,,Automation Enabled,,
GA,Georgia,https://dol.georgia.gov/wotc,Unknown,,Not Started,,,,,,,,Automation Enabled,,
HI,Hawaii,https://labor.hawaii.gov/wotc,Unknown,,,,,,,,,,,
ID,Idaho,https://www.labor.idaho.gov/wotc,Unknown,,,,,,,,,,,
IL,Illinois,https://www.illinoisworknet.com/wotc,Unknown,,,,,,,,,,,
IN,Indiana,https://www.in.gov/dwd/wotc,Unknown,,,,,,,,,,,
IA,Iowa,https://www.iowaworkforcedevelopment.gov/wotc,Unknown,,,,,,,,,,,
KS,Kansas,https://www.kansascommerce.gov/wotc,Unknown,,,,,,,,,,,
KY,Kentucky,https://kcc.ky.gov/wotc,Unknown,,,,,,,,,,,
LA,Louisiana,https://www.laworks.net/wotc,Unknown,,,,,,,,,,,
ME,Maine,https://www.maine.gov/labor/wotc,Unknown,,,,,,,,,,,
MD,Maryland,https://www.dllr.state.md.us/wotc,Unknown,,,,,,,,,,,
MA,Massachusetts,https://www.mass.gov/dcs/wotc,Unknown,,,,,,,,,,,
MI,Michigan,https://www.michigan.gov/leo/wotc,Unknown,,Not Started,,,,,,,,Automation Enabled,,
MN,Minnesota,https://mn.gov/deed/wotc,Unknown,,,,,,,,,,,
MS,Mississippi,https://mdes.ms.gov/wotc,Unknown,,,,,,,,,,,
MO,Missouri,https://jobs.mo.gov/wotc,Unknown,,,,,,,,,,,
MT,Montana,https://dli.mt.gov/wotc,Unknown,,,,,,,,,,,
NE,Nebraska,https://dol.nebraska.gov/wotc,Unknown,,,,,,,,,,,
NV,Nevada,https://detr.nv.gov/wotc,Unknown,,,,,,,,,,,
NH,New Hampshire,https://www.nhes.nh.gov/wotc,Unknown,,,,,,,,,,,
NJ,New Jersey,https://www.nj.gov/labor/wotc,Unknown,,,,,,,,,,,
NM,New Mexico,https://www.dws.state.nm.us/wotc,Unknown,,,,,,,,,,,
NY,New York,https://labor.ny.gov/wotc/portal,Unknown,,Not Started,,,,,,,,Automation Enabled,,
NC,North Carolina,https://des.nc.gov/wotc,Unknown,,,,,,,,,,,
ND,North Dakota,https://www.jobsnd.com/wotc,Unknown,,,,,,,,,,,
OH,Ohio,https://jfs.ohio.gov/wotc/portal,Unknown,,Not Started,,,,,,,,Automation Enabled,,
OK,Oklahoma,https://oklahoma.gov/oesc/wotc,Unknown,,,,,,,,,,,
OR,Oregon,https://www.oregon.gov/employ/wotc,Unknown,,,,,,,,,,,
PA,Pennsylvania,https://www.dli.pa.gov/wotc,Unknown,,,,,,,,,,,
RI,Rhode Island,https://dlt.ri.gov/wotc,Unknown,,,,,,,,,,,
SC,South Carolina,https://dew.sc.gov/wotc,Unknown,,,,,,,,,,,
SD,South Dakota,https://dlr.sd.gov/wotc,Unknown,,,,,,,,,,,
TN,Tennessee,https://www.tn.gov/workforce/wotc,Unknown,,,,,,,,,,,
TX,Texas,https://www.twc.texas.gov/wotc,Unknown,,Test Credentials,✓,✓,,,,,Automation Enabled + OCR,,
UT,Utah,https://jobs.utah.gov/wotc,Unknown,,,,,,,,,,,
VT,Vermont,https://labor.vermont.gov/wotc,Unknown,,,,,,,,,,,
VA,Virginia,https://www.vec.virginia.gov/wotc,Unknown,,,,,,,,,,,
WA,Washington,https://esd.wa.gov/wotc,Unknown,,,,,,,,,,,
WV,West Virginia,https://workforcewv.org/wotc,Unknown,,,,,,,,,,,
WI,Wisconsin,https://dwd.wisconsin.gov/wotc,Unknown,,,,,,,,,,,
WY,Wyoming,https://wyomingworkforce.org/wotc,Unknown,,,,,,,,,,,
DC,District of Columbia,https://does.dc.gov/wotc,Unknown,,,,,,,,,,,
AS,American Samoa,https://www.americansamoa.gov/wotc,Unknown,,,,,,,,,,,
GU,Guam,https://dol.guam.gov/wotc,Unknown,,,,,,,,,,,
MP,Northern Mariana Islands,https://www.cnmidol.gov.mp/wotc,Unknown,,,,,,,,,,,
PR,Puerto Rico,https://www.pr.gov/trabajo/wotc,Unknown,,,,,,,,,,,
VI,U.S. Virgin Islands,https://www.vidol.gov/wotc,Unknown,,,,,,,,,,,
